wavelength		 flux
1.211000082897151515e+03 1.260557016872088434e-14
1.211006555497110185e+03 1.549514411340866366e-14
1.211013028097068855e+03 1.712049524036023776e-14
1.211019500533412838e+03 1.772739138104859815e-14
1.211025972969757277e+03 1.805012985689455254e-14
1.211032445242834001e+03 1.825195323162195927e-14
1.211038917515910725e+03 1.837641375152374171e-14
1.211045389626068754e+03 1.845942194097166931e-14
1.211051861736226556e+03 1.852311574175175429e-14
1.211058333683816045e+03 1.857577145962004577e-14
1.211064805631405534e+03 1.862864638691907627e-14
1.211071277416778230e+03 1.868175410274635175e-14
1.211077749202150699e+03 1.873508463790400198e-14
1.211084220825659486e+03 1.878864507276231698e-14
1.211090692449168500e+03 1.884243998491317182e-14
1.211097163911168082e+03 1.889646189980131734e-14
1.211103635373167663e+03 1.895071386293526774e-14
1.211110106674013878e+03 1.900520002674848304e-14
1.211116577974859865e+03 1.905992373925798561e-14
1.211123049114909918e+03 1.911487494090635979e-14
1.211129520254960426e+03 1.917007968536392929e-14
1.211135991234572657e+03 1.922551401174095484e-14
1.211142462214185571e+03 1.928118025475721762e-14
1.211148933033720596e+03 1.933710663224699592e-14
1.211155403853256075e+03 1.939327027367599679e-14
1.211161874513075190e+03 1.944967979139968949e-14
1.211168345172894533e+03 1.950633036614759769e-14
1.211174815673359490e+03 1.956323392812676839e-14
1.211181286173825129e+03 1.962038820646463508e-14
1.211187756515300862e+03 1.967778386105083780e-14
1.211194226856776822e+03 1.973543271252780064e-14
1.211200697039627585e+03 1.979334149480897774e-14
1.211207167222479029e+03 1.985150695050152025e-14
1.211213637247071119e+03 1.990991664488134478e-14
1.211220107271663892e+03 1.996858357952256097e-14
1.211226577138365883e+03 2.002751653940597187e-14
1.211233047005067419e+03 2.008670556653400804e-14
1.211239516714247202e+03 2.014614943741440139e-14
1.211245986423426757e+03 2.020586868915726043e-14
1.211252455975454041e+03 2.026585268591074273e-14
1.211258925527481324e+03 2.032609842590116766e-14
1.211265394922727410e+03 2.038661522732775341e-14
1.211271864317973495e+03 2.044740980956218369e-14
1.211278333556809912e+03 2.050847711609951081e-14
1.211284802795646556e+03 2.056980910344437243e-14
1.211291271878447333e+03 2.063141504169269079e-14
1.211297740961248110e+03 2.069331020362330929e-14
1.211304209888387049e+03 2.075547956834232187e-14
1.211310678815525989e+03 2.081792718623868197e-14
1.211317147587378486e+03 2.088065141440046447e-14
1.211323616359230755e+03 2.094367146045651885e-14
1.211330084976172884e+03 2.100697646913116779e-14
1.211336553593115468e+03 2.107057359581116090e-14
1.211343022055525580e+03 2.113445319017471565e-14
1.211349490517935237e+03 2.119862517641637093e-14
1.211355958826190545e+03 2.126308786949819941e-14
1.211362427134445852e+03 2.132784752943866245e-14
1.211368895288925842e+03 2.139289709499082784e-14
1.211375363443406059e+03 2.145824575818132016e-14
1.211381831444491354e+03 2.152388568070838483e-14
1.211388299445577331e+03 2.158982689155039624e-14
1.211394767293649238e+03 2.165608420044827878e-14
1.211401235141721145e+03 2.172263925199682866e-14
1.211407702837161196e+03 2.178950814479813097e-14
1.211414170532601474e+03 2.185668880832020195e-14
1.211420638075793249e+03 2.192417188373459640e-14
1.211427105618984569e+03 2.199197288651384632e-14
1.211433573010311420e+03 2.206007695342568831e-14
1.211440040401638726e+03 2.212849697207821333e-14
1.211446507641485368e+03 2.219724046721858302e-14
1.211452974881332239e+03 2.226631240884234256e-14
1.211459441970084526e+03 2.233570255442998566e-14
1.211465909058836587e+03 2.240542406620665622e-14
1.211472375996880601e+03 2.247546622489310682e-14
1.211478842934924387e+03 2.254583214491616714e-14
1.211485309722646434e+03 2.261652457280213975e-14
1.211491776510368936e+03 2.268755709800747653e-14
1.211498243148157599e+03 2.275892902853352749e-14
1.211504709785946488e+03 2.283062979068095817e-14
1.211511176274190120e+03 2.290267605393082286e-14
1.211517642762433525e+03 2.297506624611694293e-14
1.211524109101521390e+03 2.304779815307158204e-14
1.211530575440609482e+03 2.312088260701435459e-14
1.211537041630931299e+03 2.319431318887974950e-14
1.211543507821253115e+03 2.326808641236041111e-14
1.211549973863199284e+03 2.334221057545166882e-14
1.211556439905146135e+03 2.341668280287650280e-14
1.211562905799108194e+03 2.349151407078314309e-14
1.211569371693070480e+03 2.356671244291158725e-14
1.211575837439439965e+03 2.364226321751014074e-14
1.211582303185809451e+03 2.371817940713849550e-14
1.211588768784979493e+03 2.379446606065290803e-14
1.211595234384149080e+03 2.387112224897904837e-14
1.211601699836511898e+03 2.394814471430695908e-14
1.211608165288874943e+03 2.402555139004341321e-14
1.211614630594824121e+03 2.410332698747169931e-14
1.211621095900773525e+03 2.418148442277041188e-14
1.211627561060703329e+03 2.426002011799043532e-14
1.211634026220633586e+03 2.433892998386721118e-14
1.211640491234938509e+03 2.441823346291974870e-14
1.211646956249243885e+03 2.449792630607995053e-14
1.211653421118319784e+03 2.457800650254596045e-14
1.211659885987395455e+03 2.465848749335519122e-14
1.211666350711636824e+03 2.473935970159346964e-14
1.211672815435878192e+03 2.482063392813603178e-14
1.211679280015681570e+03 2.490231056445356202e-14
1.211685744595484948e+03 2.498438273573867222e-14
1.211692209031246875e+03 2.506685711337986840e-14
1.211698673467008575e+03 2.514975144950184797e-14
1.211705137759125591e+03 2.523305528832132994e-14
1.211711602051242608e+03 2.531678035031803746e-14
1.211718066200111934e+03 2.540091036520366214e-14
1.211724530348981261e+03 2.548547093811921220e-14
1.211730994355000803e+03 2.557044703031808306e-14
1.211737458361020117e+03 2.565584463300866180e-14
1.211743922224587322e+03 2.574167829824933161e-14
1.211750386088154528e+03 2.582795607232329243e-14
1.211756849809667983e+03 2.591464922863760970e-14
1.211763313531181439e+03 2.600178973707039076e-14
1.211769777111040185e+03 2.608937655397721202e-14
1.211776240690898476e+03 2.617738982503581822e-14
1.211782704129500416e+03 2.626585122204830298e-14
1.211789167568101902e+03 2.635476653056429225e-14
1.211795630865846761e+03 2.644412066971472594e-14
1.211802094163591391e+03 2.653393964410367560e-14
1.211808557320877753e+03 2.662421920520649332e-14
1.211815020478164115e+03 2.671495295725534329e-14
1.211821483495392386e+03 2.680616886002138770e-14
1.211827946512620201e+03 2.689782882728533290e-14
1.211834409390189194e+03 2.698996907625316906e-14
1.211840872267758186e+03 2.708258124809845449e-14
1.211847335006068533e+03 2.717567266208663530e-14
1.211853797744378880e+03 2.726925889535086195e-14
1.211860260343830760e+03 2.736332547300870177e-14
1.211866722943282412e+03 2.745785951515554298e-14
1.211873185404274636e+03 2.755290667919377516e-14
1.211879647865267771e+03 2.764844236747464999e-14
1.211886110188202110e+03 2.774446999831561174e-14
1.211892572511136450e+03 2.784099150664268780e-14
1.211899034696412855e+03 2.793802824005669112e-14
1.211905496881689032e+03 2.803555573792145398e-14
1.211911958929707453e+03 2.813361091671552620e-14
1.211918420977725873e+03 2.823217376974660043e-14
1.211924882888887396e+03 2.833126051274164771e-14
1.211931344800049374e+03 2.843087863504188109e-14
1.211937806574753949e+03 2.853102038546159509e-14
1.211944268349458753e+03 2.863166917268401504e-14
1.211950729988107241e+03 2.873286682707810102e-14
1.211957191626755503e+03 2.883461708401124774e-14
1.211963653129748764e+03 2.893689988427634291e-14
1.211970114632741570e+03 2.903970651279943319e-14
1.211976576000478872e+03 2.914308382823653412e-14
1.211983037368216628e+03 2.924699744448642179e-14
1.211989498601098830e+03 2.935147086927482649e-14
1.211995959833981487e+03 2.945651304259177857e-14
