ion,wave_c,vmin,vmax,ngauss
CIII,1175.59,-240,230,6
SiII,1264.738,-50,100,3
SiIII,1294.5480,-100,100,2
NV_1,1238.831,-80,80,2
NV_2,1242.804,-70,70,2
CII_10,1334.532,-50,70,2
CII_11,1335.708,-80,60,2
OI,1302.1689,-50,50,2
OI_10,1304.8580,-60,50,2
OI_11,1306.0291,-60,50,2
SiIII_1,1194.0490,-100,100,1
SiII_1,1194.5000,-100,100,1
NI,1200.2260,-50,50,1
SiIII_2,1200.9611,-30,50,1
SiII_20,1259.5210,-50,50,3
SiII_21,1260.4220,-50,50,3
CI,1277.7045,-50,50,2
SiIII_3,1298.8940,-100,100,2
SiI_4,1309.2760,-50,50,2
FeXIX,1328.9061,-50,50,2
